# LUMINA-SN GPU Spectrum (Escaped Packets)
# n_packets=20000000, n_emitted=3989129
wavelength_A,flux
7350.50,7.770000e+02
7357.50,7.770000e+02
7364.50,7.230000e+02
7371.50,7.190000e+02
7378.50,7.450000e+02
7385.50,7.730000e+02
7392.50,7.580000e+02
7399.50,7.340000e+02
7406.50,7.290000e+02
7413.50,7.190000e+02
7420.50,7.280000e+02
7427.50,7.350000e+02
7434.50,7.370000e+02
7441.50,7.280000e+02
7448.50,7.440000e+02
7455.50,6.890000e+02
7462.50,6.990000e+02
7469.50,7.360000e+02
7476.50,6.940000e+02
7483.50,7.810000e+02
7490.50,6.850000e+02
7497.50,6.950000e+02
7504.50,7.540000e+02
7511.50,6.640000e+02
7518.50,6.590000e+02
7525.50,6.920000e+02
7532.50,6.610000e+02
7539.50,6.880000e+02
7546.50,7.320000e+02
7553.50,6.580000e+02
7560.50,7.070000e+02
7567.50,6.800000e+02
7574.50,6.910000e+02
7581.50,6.930000e+02
7588.50,7.020000e+02
7595.50,6.630000e+02
7602.50,6.760000e+02
7609.50,6.780000e+02
7616.50,6.410000e+02
7623.50,6.250000e+02
7630.50,6.730000e+02
7637.50,6.470000e+02
7644.50,6.490000e+02
7651.50,6.780000e+02
7658.50,6.440000e+02
7665.50,6.550000e+02
7672.50,6.610000e+02
7679.50,7.120000e+02
7686.50,5.950000e+02
7693.50,6.660000e+02
7700.50,6.640000e+02
7707.50,6.720000e+02
7714.50,6.490000e+02
7721.50,6.290000e+02
7728.50,5.960000e+02
7735.50,6.730000e+02
7742.50,6.090000e+02
7749.50,6.020000e+02
7756.50,6.630000e+02
7763.50,6.360000e+02
7770.50,5.980000e+02
7777.50,5.920000e+02
7784.50,6.520000e+02
7791.50,6.370000e+02
7798.50,6.150000e+02
7805.50,6.020000e+02
7812.50,6.470000e+02
7819.50,6.450000e+02
7826.50,6.010000e+02
7833.50,6.330000e+02
7840.50,6.050000e+02
7847.50,6.250000e+02
7854.50,6.270000e+02
7861.50,5.940000e+02
7868.50,5.950000e+02
7875.50,5.770000e+02
7882.50,5.620000e+02
7889.50,6.230000e+02
7896.50,6.190000e+02
7903.50,6.240000e+02
7910.50,6.190000e+02
7917.50,6.390000e+02
7924.50,5.720000e+02
7931.50,5.390000e+02
7938.50,6.150000e+02
7945.50,5.550000e+02
7952.50,5.990000e+02
