# Wavelength(A) Luminosity_density(erg/s/A)
5.089490e+03 8.137429e+38
5.086470e+03 1.053509e+39
5.083453e+03 9.910434e+38
5.080440e+03 1.299250e+39
5.077431e+03 9.542764e+38
5.074425e+03 1.685539e+39
5.071423e+03 1.412077e+39
5.068424e+03 1.320411e+39
5.065428e+03 1.205453e+39
5.062437e+03 9.885898e+38
5.059449e+03 1.314997e+39
5.056464e+03 9.622204e+38
5.053483e+03 9.215396e+38
5.050505e+03 7.014197e+38
5.047531e+03 1.406551e+39
5.044560e+03 1.400731e+39
5.041593e+03 1.074406e+39
5.038629e+03 1.031418e+39
5.035669e+03 1.088256e+39
5.032713e+03 1.981660e+39
5.029759e+03 1.543700e+39
5.026810e+03 7.899576e+38
5.023863e+03 1.516290e+39
5.020921e+03 8.756715e+38
5.017981e+03 1.708164e+39
5.015045e+03 8.746570e+38
5.012113e+03 1.008041e+39
5.009184e+03 1.268464e+39
5.006258e+03 1.269714e+39
5.003336e+03 1.549233e+39
5.000417e+03 1.565612e+39
4.997501e+03 9.265968e+38
4.994589e+03 9.116787e+38
4.991681e+03 7.135529e+38
4.988775e+03 1.419183e+39
4.985873e+03 1.408106e+39
4.982975e+03 1.195231e+39
4.980080e+03 6.308440e+38
4.977188e+03 1.846996e+39
4.974299e+03 1.355549e+39
