# LUMINA-SN GPU Spectrum (Peeling-off / Virtual Packets)
# n_packets=20000000, n_contributions=374813200
# Line contributions: 189807, E-scatter: 374623393
wavelength_A,flux
8914.00,2.539548e+03
8926.00,2.545870e+03
8938.00,2.548467e+03
8950.00,2.540054e+03
8962.00,2.529380e+03
8974.00,2.507336e+03
8986.00,2.444448e+03
8998.00,2.513248e+03
9010.00,2.420799e+03
9022.00,2.447423e+03
9034.00,2.446332e+03
9046.00,2.448703e+03
9058.00,2.442812e+03
9070.00,2.363462e+03
9082.00,2.358031e+03
9094.00,2.417332e+03
9106.00,2.400363e+03
9118.00,2.380069e+03
9130.00,2.357368e+03
9142.00,2.322316e+03
9154.00,2.324051e+03
9166.00,2.337236e+03
9178.00,2.257094e+03
9190.00,2.319580e+03
9202.00,2.287527e+03
9214.00,2.240867e+03
9226.00,2.249580e+03
9238.00,2.204849e+03
9250.00,2.298981e+03
9262.00,2.243691e+03
9274.00,2.237831e+03
9286.00,2.205459e+03
9298.00,2.249533e+03
9310.00,2.203821e+03
9322.00,2.209803e+03
9334.00,2.215959e+03
9346.00,2.191894e+03
9358.00,2.164261e+03
9370.00,2.175549e+03
9382.00,2.147819e+03
9394.00,2.179953e+03
9406.00,2.167138e+03
9418.00,2.173451e+03
9430.00,2.122723e+03
9442.00,2.121842e+03
9454.00,2.116997e+03
9466.00,2.107356e+03
9478.00,2.129224e+03
9490.00,2.076274e+03
9502.00,2.032751e+03
9514.00,2.049329e+03
9526.00,2.044424e+03
9538.00,1.991545e+03
9550.00,2.080774e+03
9562.00,2.026581e+03
9574.00,2.020689e+03
9586.00,1.972121e+03
9598.00,2.018043e+03
9610.00,1.986408e+03
9622.00,1.956397e+03
9634.00,1.966866e+03
9646.00,1.974782e+03
9658.00,1.949947e+03
9670.00,1.942214e+03
9682.00,1.994751e+03
9694.00,1.934337e+03
9706.00,1.925695e+03
9718.00,1.926674e+03
9730.00,1.899260e+03
9742.00,1.893149e+03
9754.00,1.884373e+03
9766.00,1.898384e+03
9778.00,1.898524e+03
9790.00,1.890304e+03
9802.00,1.848472e+03
9814.00,1.867661e+03
9826.00,1.800179e+03
9838.00,1.853801e+03
9850.00,1.815950e+03
9862.00,1.823929e+03
9874.00,1.786873e+03
9886.00,1.776294e+03
9898.00,1.816147e+03
9910.00,1.780410e+03
9922.00,1.807082e+03
9934.00,1.759919e+03
9946.00,1.788545e+03
9958.00,1.758843e+03
9970.00,1.743910e+03
9982.00,1.773420e+03
9994.00,1.714868e+03
10006.00,1.750604e+03
10018.00,1.752456e+03
10030.00,1.734326e+03
10042.00,1.691065e+03
10054.00,1.735697e+03
10066.00,1.681508e+03
10078.00,1.706193e+03
10090.00,1.698776e+03
10102.00,1.719087e+03
10114.00,1.662387e+03
10126.00,1.662404e+03
10138.00,1.657325e+03
10150.00,1.671211e+03
10162.00,1.650791e+03
10174.00,1.594189e+03
10186.00,1.655410e+03
10198.00,1.660683e+03
10210.00,1.620152e+03
10222.00,1.590101e+03
10234.00,1.628483e+03
10246.00,1.561696e+03
10258.00,1.645902e+03
10270.00,1.566154e+03
10282.00,1.587088e+03
10294.00,1.605827e+03
10306.00,1.548247e+03
10318.00,1.560999e+03
10330.00,1.560614e+03
10342.00,1.551301e+03
10354.00,1.542448e+03
10366.00,1.528128e+03
10378.00,1.541094e+03
10390.00,1.545477e+03
10402.00,1.534560e+03
10414.00,1.515064e+03
10426.00,1.479461e+03
10438.00,1.460135e+03
10450.00,1.492564e+03
10462.00,1.485339e+03
10474.00,1.494368e+03
10486.00,1.487305e+03
10498.00,1.444734e+03
10510.00,1.446758e+03
10522.00,1.428129e+03
10534.00,1.453696e+03
10546.00,1.454533e+03
10558.00,1.425006e+03
10570.00,1.443654e+03
10582.00,1.417951e+03
10594.00,1.403457e+03
10606.00,1.417140e+03
10618.00,1.365628e+03
10630.00,1.421187e+03
10642.00,1.380375e+03
10654.00,1.372709e+03
10666.00,1.392182e+03
10678.00,1.376005e+03
10690.00,1.383719e+03
10702.00,1.352369e+03
10714.00,1.380451e+03
10726.00,1.360466e+03
10738.00,1.402603e+03
10750.00,1.374497e+03
10762.00,1.363838e+03
10774.00,1.360887e+03
10786.00,1.341860e+03
10798.00,1.350588e+03
10810.00,1.339744e+03
